id,url
gestao-2020-2022,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/conselho-do-deca/gestao-2020-2022
chefia-do-departamento,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/chefia-do-departamento
gestao-2024-2026,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/chefia-do-departamento/gestao-2024-2026
gestao-2022-2024,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/chefia-do-departamento/gestao-2022-2024
gestao-2020-2022,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/chefia-do-departamento/gestao-2020-2022
normas,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/normas
equipe,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/equipe
docentes,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/equipe/docentes
engenharia-ambiental,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental
engenharia-de-controle-e-automacao,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao
--engenharia-eletrica-local,https://www.sorocaba.unesp.br/#!/pos-graduacao/--engenharia-eletrica-local
2022,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/eventos-realizados/2022
2023,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/eventos-realizados/2023
2024,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/eventos-realizados/2024
apresentacao,https://www.sorocaba.unesp.br/#!/extensao/ao-vivo-e-em-cores/apresentacao
lince---liga-de-inteligencia-neurocomputacional-na-engenharia,https://www.sorocaba.unesp.br/#!/comunidade/ligas-academicas/ligas-academicas-credenciadas/lince---liga-de-inteligencia-neurocomputacional-na-engenharia
atas-ate-2022,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/atas-da-cpeuc/atas-ate-2022
atas-a-partir-de-2023,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/atas-da-cpeuc/atas-a-partir-de-2023
sobre-a-biblioteca,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca
equipe,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/equipe
horario-de-funcionamento,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/horario-de-funcionamento
regulamento,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/regulamento
regimento-interno,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/regimento-interno
comissao-de-boblioteca,https://www.sorocaba.unesp.br/#!/sobre-o-campus/biblioteca/sobre-a-biblioteca/comissao-de-boblioteca
