id,url,last_modified,date,updated_by,responsible
calendario,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/calendario,Atualizada em 18/Set/2024 09:54 por Marcos Dionizio - Responsável: Marcos Dionizio,18/Set/2024,Marcos Dionizio,Marcos Dionizio
2024---2026,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2024---2026,Not Found,Not Found,Not Found,Not Found
2022---2024,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2022---2024,Atualizada em 11/Ago/2025 10:27 por Marcos Dionizio - Responsável: Marcos Dionizio,11/Ago/2025,Marcos Dionizio,Marcos Dionizio
2020--2022,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2020--2022,Not Found,Not Found,Not Found,Not Found
2018---2019,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2018---2019,Atualizada em 02/Jun/2021 15:50 por Alline Rodrigues Spinelli - Responsável: Marcos Dionizio,02/Jun/2021,Alline Rodrigues Spinelli,Marcos Dionizio
2015---2017,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2015---2017,Atualizada em 06/Mai/2020 16:06 por Marcos Dionizio - Responsável: Marcos Dionizio,06/Mai/2020,Marcos Dionizio,Marcos Dionizio
2015---20171791,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/2015---20171791,Atualizada em 05/Mai/2017 11:35 por Alline Rodrigues Spinelli - Responsável: Marcos Dionizio,05/Mai/2017,Alline Rodrigues Spinelli,Marcos Dionizio
apresentacao,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/conselho-de-curso/apresentacao,Atualizada em 03/Mai/2017 16:22 por Alline Rodrigues Spinelli - Responsável: Marcos Dionizio,03/Mai/2017,Alline Rodrigues Spinelli,Marcos Dionizio
docentes,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/docentes,Atualizada em 03/Mai/2017 15:43 por Alline Rodrigues Spinelli - Responsável: Marcos Dionizio,03/Mai/2017,Alline Rodrigues Spinelli,Marcos Dionizio
grade-curricular,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/grade-curricular,Atualizada em 06/Jun/2025 13:01 por Gisele - Responsável: Giovana Maia Antonangelo,06/Jun/2025,Gisele,Giovana Maia Antonangelo
laboratorios,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/laboratorios,Atualizada em 25/Jul/2023 11:08 por Marcos Dionizio - Responsável: Marcos Dionizio,25/Jul/2023,Marcos Dionizio,Marcos Dionizio
equipe,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/laboratorios/equipe,Atualizada em 25/Jul/2023 11:08 por Marcos Dionizio - Responsável: Marcos Dionizio,25/Jul/2023,Marcos Dionizio,Marcos Dionizio
anexos,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-ambiental/laboratorios/anexos,Atualizada em 22/Mar/2024 14:24 por Giovana Maia Antonangelo - Responsável: Giovana Maia Antonangelo,22/Mar/2024,Giovana Maia Antonangelo,Giovana Maia Antonangelo
apresentacao,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/apresentacao,Atualizada em 18/Nov/2015 16:17 por Suzan - Responsável: Marcos Dionizio,18/Nov/2015,Suzan,Marcos Dionizio
sobre,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/apresentacao/sobre,Atualizada em 18/Nov/2015 16:17 por Suzan - Responsável: Marcos Dionizio,18/Nov/2015,Suzan,Marcos Dionizio
credenciamento-no-mec,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/apresentacao/credenciamento-no-mec,Atualizada em 21/Jul/2023 16:45 por Adriano Luiz Imenes Dias - Responsável: Marcos Dionizio,21/Jul/2023,Adriano Luiz Imenes Dias,Marcos Dionizio
ic,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/apresentacao/ic,Not Found,Not Found,Not Found,Not Found
tcc,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/apresentacao/tcc,Atualizada em 03/Dez/2024 18:22 por Adriano Luiz Imenes Dias - Responsável: Adriano Luiz Imenes Dias,03/Dez/2024,Adriano Luiz Imenes Dias,Adriano Luiz Imenes Dias
coordenacao-de-curso,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/coordenacao-de-curso,Atualizada em 27/Ago/2025 14:07 por Adriano Luiz Imenes Dias - Responsável: Adriano Luiz Imenes Dias,27/Ago/2025,Adriano Luiz Imenes Dias,Adriano Luiz Imenes Dias
2022-2024,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/coordenacao-de-curso/2022-2024,Atualizada em 27/Ago/2025 14:07 por Adriano Luiz Imenes Dias - Responsável: Adriano Luiz Imenes Dias,27/Ago/2025,Adriano Luiz Imenes Dias,Adriano Luiz Imenes Dias
conselho-de-curso,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/conselho-de-curso,Atualizada em 17/Set/2024 18:11 por Marcos Dionizio - Responsável: Adriano Luiz Imenes Dias,17/Set/2024,Marcos Dionizio,Adriano Luiz Imenes Dias
teste,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/conselho-de-curso/teste,Atualizada em 17/Set/2024 18:11 por Marcos Dionizio - Responsável: Adriano Luiz Imenes Dias,17/Set/2024,Marcos Dionizio,Adriano Luiz Imenes Dias
calendario-de-reunioes,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/conselho-de-curso/calendario-de-reunioes,Atualizada em 16/Set/2025 15:43 por Marcos Dionizio - Responsável: Adriano Luiz Imenes Dias,16/Set/2025,Marcos Dionizio,Alline Rodrigues Spinelli
docentes,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/docentes,Atualizada em 06/Ago/2025 16:11 por Marcos Dionizio - Responsável: Alline Rodrigues Spinelli,06/Ago/2025,Marcos Dionizio,Alline Rodrigues Spinelli
projeto-politico-pedagogico,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/projeto-politico-pedagogico,Not Found,Not Found,Not Found,Not Found
laboratorios,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/laboratorios,Atualizada em 18/Dez/2024 10:25 por Marcos Dionizio - Responsável: Marcos Dionizio,18/Dez/2024,Marcos Dionizio,Marcos Dionizio
estrutura,https://www.sorocaba.unesp.br/#!/graduacao/engenharia-de-controle-e-automacao/laboratorios/estrutura,Atualizada em 18/Dez/2024 10:25 por Marcos Dionizio - Responsável: Marcos Dionizio,18/Dez/2024,Marcos Dionizio,Marcos Dionizio
